Alertas Importantes Rojas,Production,2025-09-25 17:03:32,Total Alarmas Rojas: 19
Nombre del Servidor,Cantidad,Nombre de alertas rojas
SRVISUPRD,3,"EPMAPS PROD SRVISUPRD E:-BIN-INCIDENTE-DISK; EPMAPS PROD SRVISUPRD F:-SWAP-INCIDENTE-DISK; EPMAPS PROD SRVISUPRD G:-ARCHIVO-INCIDENTE-DISK"
SRVERPPRD,2,"EPMAPS-PROD-SRVERPPRD-/comprobantes-INCIDENTE-DISK; EPMAPS-PROD-SRVERPPRD-/ordenes-INCIDENTE-DISK"
SRVSAOPRD,1,"EPMAPS PROD SRVSAOPRD F:- ARCHIVOS-INCIDENTE-DISK"
SRVSAPERPBDD,1,"EPMAPS PROD SRVSAPERPBDD ACTIVA RAM % uso >80%"
SOLMANPRD,2,"EPMAPS PROD SOLMANPRD D:-SQL TEMP-INCIDENTE-DISK; EPMAPS PROD SOLMANPRD G:-Binarios SAP-INCIDENTE-DISK"
SRVSAPBWBDD,1,"EPMAPS-PROD-SRVSAPBWBDD-/backup-INCIDENTE-DISK"
SRVSTG (SRVALMPRD),3,"EPMAPS PROD SRVSTG (SRVALMPRD) F:-Nuevo vol-INCIDENTE-DISK; EPMAPS PROD SRVSTG (SRVALMPRD) I:- Nuevo vol-INCIDENTE-DISK; WS Aguas Quito Espacio libre en disco < 20% - SRVSTG (SRVALMPRD) - G: (vol-04ffa316300953409)"
SRVISUPRDDB,6,"EPMAPS PROD SRVISUPRDDB P:-PAGEFILE-INCIDENTE-DISK; EPMAPS PROD SRVISUPRDDB) H:- Data1-INCIDENTE-DISK; EPMAPS PROD SRVISUPRDDB) I:-Data2-INCIDENTE-DISK; EPMAPS PROD SRVISUPRDDB) J:- Data3-INCIDENTE-DISK; EPMAPS PROD SRVISUPRDDB) K:- Nuevo vol-INCIDENTE-DISK; EPMAPS PROD SRVISUPRDDB) O:- Nuevo vol-INCIDENTE-DISK"

Alertas Importantes Rojas,QA,2025-09-25 17:03:32,Total Alarmas Rojas: 3
Nombre del Servidor,Cantidad,Nombre de alertas rojas
SRVHANDBQAS,1,"EPMAPS QA SRVHANDBQAS ACTIVA RAM % uso >80%"
QUALITY_SRVWDQAS,1,"EPMAPS - QUALITY_SRVWDQAS - PING NOT REACHABLE"
SRVERPQA,1,"EPMAPS QA SRVERPQA ACTIVA RAM % uso >80%"

Alertas Importantes Rojas,DEV,2025-09-25 17:03:32,Total Alarmas Rojas: 3
Nombre del Servidor,Cantidad,Nombre de alertas rojas
SRVHANDBDEV,1,"EPMAPS DEV SRVHANDBDEV ACTIVA RAM % uso >80%"
SRVSAPDEV1,1,"EPMAPS DEV SRVSAPDEV1 ACTIVA RAM % uso >80%"
SRVCRMDEV,1,"EPMAPS DEV SRVCRMDEV ACTIVA RAM % uso >80%"

Alertas No disponibles
Nombre del Servidor,Entorno,Cantidad,Nombre de la alerta que tiene datos no suficientes
QUALITY_SRVWDQAS,QA,1,"EPMAPS QA QUALITY_SRVWDQAS ACTIVA RAM % uso >80%"
SRVERPQA,QA,1,"EPMAPS - (SRVERPQA-28/08/2025) - PING NOT REACHABLE"
SRVHANDBDEV,DEV,3,"EPMAPS-PROD-SRVHANDBDEV-/sapmnt/GWD-ALERTA-DISK; EPMAPS-PROD-SRVHANDBDEV-/sapmnt/GWD-INCIDENTE-DISK; EPMAPS-PROD-SRVHANDBDEV-/sapmnt/GWD-PROACTIVA-DISK"
WEB DISPACHER (SRVHANWDDEV),DEV,2,"EPMAPS - (WEB DISPACHER (SRVHANWDDEV)) - PING NOT REACHABLE; EPMAPS DEV WEB DISPACHER (SRVHANWDDEV) ACTIVA RAM % uso >80%"
